Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
南北,世纪城,有电梯,7,远大园四区,101101559720,3室2厅,1900,海淀,简装,153.0,2000
南北,公主坟,无电梯,5,翠微路2号院,101102646045,2室1厅,476,海淀,简装,47.0,1980
东西,军博,,6,北蜂窝103号院,101102486872,2室1厅,446,海淀,其他,57.0,1986
西北,紫竹桥,有电梯,18,北洼路28号院,101101037385,4室2厅,1239,海淀,简装,177.0,1996
南北,玉泉路,有电梯,5,长安山麓,101102470203,3室3厅,2000,海淀,其他,179.0,2012
东西,定慧寺,无电梯,5,永安东里,101101458578,2室1厅,550,海淀,简装,79.0,1998
南北,清河,有电梯,9,金隅美和园,101102486548,2室1厅,560,海淀,精装,82.0,2008
西南,牡丹园,有电梯,26,中鑫嘉园,101102668310,1室1厅,639,海淀,精装,78.0,2004
南北,颐和园,无电梯,6,骚子营,101102318042,3室1厅,550,海淀,精装,68.0,1987
南北,五棵松,无电梯,6,六建,101102039176,3室1厅,700,海淀,简装,82.0,1992
南北,四季青,无电梯,6,美丽西园,101101975796,2室1厅,740,海淀,精装,93.0,2002
南,万寿路,无电梯,5,万寿路1号院,101102099261,2室1厅,445,海淀,精装,55.0,1978
南北,上地,无电梯,5,上地东里,101102571351,3室2厅,1500,海淀,其他,164.0,1996
南北,海淀北部新区,有电梯,9,正源尚峰尚水,101102523024,3室2厅,795,海淀,精装,131.0,2012
南北,五道口,,6,东王庄,101102431123,3室1厅,835,海淀,精装,90.0,1997
东西北,紫竹桥,有电梯,18,北洼东里,101101865409,3室2厅,839,海淀,精装,98.0,1999
南北,田村,,6,田村39号院,101102347879,2室1厅,490,海淀,简装,72.0,1996
南,公主坟,有电梯,18,翠微南里,101102566456,2室1厅,720,海淀,简装,81.0,1990
南北,西北旺,有电梯,7,西山公馆,101102298542,3室1厅,1250,海淀,精装,150.0,2010
西北,西二旗,有电梯,18,铭科苑,101102409665,3室1厅,560,海淀,其他,114.0,1999
西南,双榆树,有电梯,20,知春路82号院,101101986001,3室1厅,1350,海淀,其他,115.0,1998
东,紫竹桥,有电梯,25,紫竹花园,101102345124,2室1厅,1150,海淀,简装,164.0,2001
南北,圆明园,无电梯,6,北河沿,101102544767,3室1厅,630,海淀,其他,57.0,1988
南北,学院路,无电梯,3,生态园,101102245871,2室1厅,560,海淀,简装,62.0,1994
东南,六里桥,无电梯,6,莲怡园北路1号院,101101594964,3室1厅,545,丰台,简装,79.0,1998
南,青塔,无电梯,6,张仪村4号院,101102585096,1室1厅,230,丰台,其他,42.0,1995
东北,角门,有电梯,19,角门东里,101102193778,2室1厅,380,丰台,精装,73.0,1995
东北,马家堡,有电梯,18,未来明珠,101102620884,2室1厅,625,丰台,精装,110.0,2003
西南,青塔,,24,春园,101101974016,2室1厅,500,丰台,精装,98.0,2001
南,北大地,无电梯,6,西四环南路96号,101102137196,2室1厅,310,丰台,简装,57.0,1989
南北,五里店,无电梯,6,程庄路3号院,101102551763,2室1厅,270,丰台,精装,60.0,1980
南北,青塔,,7,青塔东里,101102458058,2室1厅,450,丰台,简装,84.0,2000
南西,花乡,,9,期颐百年,101102480154,2室1厅,419,丰台,简装,87.0,2011
东南,旧宫,有电梯,16,万源北路7号院,101102535355,2室2厅,419,丰台,精装,93.0,2012
南北,北大地,无电梯,6,北大地四里,101102623884,2室1厅,380,丰台,精装,64.0,1991
东北,方庄,,22,芳古园二区,101102599706,4室2厅,1196,丰台,精装,171.0,2000
西北,菜户营,,14,万泉寺东路9号院,101102621346,3室2厅,610,丰台,简装,105.0,2008
西南,菜户营,有电梯,30,鹏润家园,101102289266,3室2厅,1250,丰台,其他,207.0,2001
南北,右安门外,,6,玉林东里一区,101102212420,3室1厅,445,丰台,精装,69.0,1995
南北,马家堡,无电梯,6,角门16号院,101102623656,2室1厅,345,丰台,其他,60.0,1998
东南北,太平桥,,21,尚西泊图,101102624675,3室1厅,750,丰台,其他,127.0,2004
南北,新宫,,15,天骄俊园9号院,101102628459,2室1厅,520,丰台,精装,96.0,2012
南,青塔,,18,广安﹒康馨家园,101102527165,2室1厅,332,丰台,简装,69.0,2015
南,青塔,,34,广安﹒康馨家园,101102621795,2室1厅,345,丰台,其他,72.0,2015
南北,青塔,,28,广安﹒康馨家园,101102596715,2室1厅,350,丰台,简装,73.0,2014
南北,青塔,有电梯,26,广安﹒康馨家园,101102583424,2室1厅,365,丰台,简装,76.0,2013
南北,方庄,,15,芳星园三区,101102571461,3室1厅,490,丰台,简装,86.0,2000
南北,旧宫,,6,菊源里,101102564568,4室2厅,760,丰台,其他,156.0,2001
东南,赵公口,有电梯,20,康泽园,101102428045,2室1厅,460,丰台,简装,89.0,2001
东南,方庄,有电梯,27,芳城园一区,101102420205,3室1厅,614,丰台,简装,97.0,1994
南北,新宫,无电梯,6,翠海明苑,101102546578,2室1厅,550,丰台,精装,90.0,2005
南,科技园区,,14,北京方向,101102443166,1室1厅,385,丰台,精装,61.0,2015
东西,洋桥,无电梯,6,洋桥北里,101101318597,2室1厅,335,丰台,简装,59.0,1988
西,青塔,有电梯,20,蔚园,101102433380,3室1厅,500,丰台,其他,94.0,1996
南北,西关环岛,,6,秋实家园,101102164788,3室2厅,335,昌平,简装,127.0,2000
南北,鼓楼大街,有电梯,28,石坊院,101101726529,2室1厅,475,昌平,简装,130.0,2010
南,鼓楼大街,无电梯,6,新悦家园,101102593890,1室0厅,200,昌平,精装,38.0,2003
北,沙河,无电梯,6,善缘嘉园,101102619706,1室1厅,138,昌平,简装,22.0,2006
南北,北七家,,6,温泉花园B区,101102608620,1室1厅,252,昌平,精装,56.0,2002
南,鼓楼大街,无电梯,6,石坊院,101101851930,1室1厅,245,昌平,精装,54.0,1989
东西北,天通苑,有电梯,21,天通公园里,101101442818,1室0厅,295,昌平,精装,48.0,2008
东,西关环岛,有电梯,15,蓝郡国际花园,101101304832,1室0厅,230,昌平,简装,53.0,2009
南北,东关,无电梯,6,京科苑,101102394704,3室1厅,370,昌平,其他,118.0,1998
北,回龙观,,11,流星花园三区,101102561685,1室0厅,300,昌平,其他,47.0,2006
南北,西关环岛,无电梯,6,水屯家园,101102448813,3室1厅,315,昌平,其他,120.0,2003
南北,北七家,无电梯,7,名流花园,101102053067,2室2厅,360,昌平,简装,91.0,1996
南北,小汤山,,12,纳帕澜郡,101102327248,3室2厅,518,昌平,其他,139.0,2013
西南,天通苑,有电梯,24,天通公园里,101102486268,3房间2卫,248,昌平,精装,54.0,2008
南,回龙观,有电梯,7,上北鑫座,101102506007,1房间1卫,125,昌平,精装,38.0,2012
西南,北七家,无电梯,7,名流花园,101102383369,3室2厅,420,昌平,简装,128.0,1998
南北,回龙观,无电梯,7,云趣园一区,101102622369,3室2厅,510,昌平,简装,145.0,2000
南北,北七家,,6,王府园中园六区,101102530446,3室2厅,750,昌平,精装,212.0,2001
南北,鼓楼大街,无电梯,6,和平街东里,101102240501,3室1厅,290,昌平,精装,87.0,1994
西,沙河,有电梯,17,北街家园七区,101102651491,1室1厅,180,昌平,简装,19.0,2010
北,天通苑,有电梯,20,东亚奥北中心北区,101101971705,1房间0卫,110,昌平,精装,30.0,2008
南北,天通苑,有电梯,12,天通苑北二区,101101424099,4室1厅,860,昌平,其他,186.0,2005
南北,北七家,,2,蓬莱苑C区,101102127634,5室2厅,1500,昌平,精装,213.0,2003
东西,南邵,,24,龙山跃,101101873115,3房间2卫,220,昌平,精装,58.0,2006
北,回龙观,,7,北回归线,101102351766,2房间1卫,235,昌平,精装,66.0,2009
南北,天通苑,,6,天通苑本六区,101102658462,3室1厅,445,昌平,简装,131.0,2001
南北,北七家,,3,远洋傲北,101102529684,5室2厅,1250,昌平,毛坯,333.0,2013
南北,西关环岛,无电梯,6,秋实家园,101102589323,3室1厅,318,昌平,简装,123.0,2000
西,旧宫,,17,东亚五环国际,101101870128,1房间1卫,104,大兴,精装,34.0,2014
东西北,亦庄,,9,金融街漫香林第6区,101102305226,4房间1卫,350,大兴,精装,86.0,2016
南,旧宫,有电梯,19,东亚五环国际,101101918712,4房间2卫,319,大兴,精装,109.0,2014
南北,枣园,有电梯,29,中建国际港,101101556915,3室1厅,760,大兴,简装,141.0,2015
南北,枣园,有电梯,29,中建国际港,101102170131,3室2厅,760,大兴,其他,136.0,2015
东,旧宫,有电梯,19,东亚五环国际,101101870833,3房间1卫,230,大兴,简装,93.0,2014
南北,亦庄,,9,金融街漫香林第6区,101102326275,4房间1卫,330,大兴,精装,93.0,2016
南,天宫院,有电梯,28,珺悦国际,101102580612,4房间2卫,350,大兴,精装,140.0,2014
西南,旧宫,有电梯,20,东亚五环国际,101102212250,3房间1卫,265,大兴,简装,97.0,2014
南北,天宫院,有电梯,28,珺悦国际,101102346033,4房间2卫,405,大兴,精装,157.0,2014
西南,旧宫,有电梯,19,东亚五环国际,101101894914,4房间2卫,370,大兴,精装,123.0,2014
南北,枣园,有电梯,33,中建国际港,101102402821,4室2厅,875,大兴,其他,153.0,2015
南,枣园,有电梯,29,中建国际港,101102360852,2室1厅,480,大兴,其他,88.0,2015
南北,大兴其它,,15,首座御园二区二期,101102550326,3室1厅,525,大兴,精装,116.0,2015
东西,黄村火车站,有电梯,12,翰林庭院,101102235971,3室2厅,530,大兴,简装,155.0,2007
南北,天宫院,,26,龙湖时代天街,101102605461,4室1厅,788,大兴,简装,169.0,2014
东南北,天宫院,有电梯,29,保利春天里,101102606562,1室1厅,267,大兴,精装,58.0,2014
东南,旧宫,有电梯,19,东亚五环国际,101102598867,4房间2卫,295,大兴,其他,123.0,2014
西北,天宫院,,8,珺悦国际,101102587541,3房间2卫,240,大兴,精装,101.0,2014
南北,天宫院,,19,云立方,101102626290,2室1厅,354,大兴,简装,84.0,2014
东西,亦庄,,9,金融街漫香林第6区,101101936128,4房间1卫,300,大兴,精装,89.0,2016
西,天宫院,有电梯,14,鑫苑鑫都汇,101102027118,3房间1卫,160,大兴,精装,43.0,2015
南,良乡,有电梯,14,旭辉E天地,101102026120,2房间1卫,160,房山,精装,35.0,2015
东,长阳,,8,怡和南路11号院,101101882934,1房间1卫,110,房山,精装,42.0,2016
东,长阳,,8,怡和南路11号院,101102527989,1房间1卫,140,房山,其他,46.0,2016
南北,良乡,,15,辰光嘉园,101102530003,5室2厅,658,房山,其他,234.0,2003
南北,长阳,,4,长阳半岛怡和路6号院,101102364233,3室2厅,695,房山,其他,139.0,2015
东,长阳,,8,怡和南路11号院,101102566983,2房间1卫,108,房山,精装,42.0,2016
南,城关,,19,中国铁建原香漫谷,101102504094,2室2厅,252,房山,毛坯,95.0,2015
南,窦店,,9,北京城建琨廷,101102536379,2室1厅,255,房山,精装,85.0,2013
南北,城关,,16,中冶蓝城,101102555199,2室1厅,255,房山,精装,89.0,2014
西,长阳,,5,五和万科长阳天地,101102497149,2房间2卫,135,房山,精装,47.0,2016
北,良乡,有电梯,13,旭辉E天地,101102337352,2房间1卫,99,房山,毛坯,35.0,2015
东,良乡,,18,首开熙悦睿府书香,101101873370,1房间1卫,119,房山,精装,50.0,2014
北,良乡,无电梯,5,伟业嘉园西里,101102617300,2室1厅,200,房山,简装,39.0,2005
东西,良乡,无电梯,6,苏庄一里小区,101102631069,3室1厅,310,房山,简装,88.0,2000
南,良乡,有电梯,14,旭辉E天地,101102020743,2房间1卫,150,房山,简装,38.0,2015
南北,平谷其它,,18,首城汇景湾,101102498824,2室2厅,210,平谷,其他,87.0,2014
东北,平谷其它,,18,首城汇景湾,101102522579,1室1厅,199,平谷,其他,67.0,2014
南北,平谷其它,,12,首城汇景湾,101102206025,3室2厅,420,平谷,精装,124.0,2015
南北,平谷其它,,17,新华联慧谷,101102604095,2室2厅,285,平谷,精装,102.0,2015
南北,平谷其它,,12,中昂邑上原著,101102573976,2室1厅,320,平谷,精装,76.0,2015
南北,平谷其它,,18,首城汇景湾,101102535450,3室2厅,360,平谷,其他,134.0,2014
南北,平谷其它,,18,首城汇景湾,101102523872,2室2厅,230,平谷,其他,88.0,2014
南北,平谷其它,,11,首城汇景湾,101102524948,2室2厅,260,平谷,其他,89.0,2015
南北,平谷其它,,18,首城汇景湾,101102565578,1室1厅,190,平谷,其他,74.0,2014
南北,平谷其它,,18,首城汇景湾,101102597792,3室1厅,270,平谷,其他,116.0,2014
南北,平谷其它,,16,首城汇景湾,101102599347,2室2厅,260,平谷,精装,91.0,2014
南北,平谷其它,,13,首城汇景湾,101102442157,4室2厅,480,平谷,精装,194.0,2014
南北,怀柔,,2,龙山新新小镇六期,101102087851,5室2厅,1800,怀柔,精装,457.0,2009
南北,怀柔,,4,顶秀美泉小镇,101102283820,2室1厅,430,怀柔,精装,89.0,2010
南北,怀柔,,2,龙山新新小镇六期,101102562857,6室4厅,850,怀柔,精装,163.0,2008
南北,怀柔,,1,融城园南区,101102521460,3室1厅,330,怀柔,简装,87.0,1998
南北,怀柔,,2,龙山新新小镇六期,101102038170,5室3厅,2100,怀柔,精装,585.0,2008
南北,怀柔,,2,欧郡香水城,101100814429,5室2厅,1030,怀柔,毛坯,343.0,2011
东南北,怀柔,,2,八龙桥雅苑,101102403032,5室2厅,1150,怀柔,其他,307.0,2008
南北,怀柔,,2,龙山新新小镇六期,101102291157,4室2厅,800,怀柔,简装,163.0,2008
南北,怀柔,,4,顶秀美泉小镇,101102302782,3室2厅,530,怀柔,其他,133.0,2010
南北,怀柔,,4,顶秀美泉家园,101102411267,3室2厅,430,怀柔,其他,88.0,2012
南北,怀柔,,6,融城园北区,101102227629,3室1厅,310,怀柔,精装,104.0,2003
南北,怀柔,,6,融城园南区,101102573858,3室1厅,235,怀柔,其他,80.0,1997
南北,怀柔,,8,益田影人四季花园,101102096288,2室2厅,413,怀柔,精装,103.0,2012
南北,怀柔,,2,欧郡香水城,101102345488,5室3厅,1150,怀柔,精装,345.0,2008
东北,怀柔,,6,康馨家园,101102052640,1室1厅,220,怀柔,简装,57.0,2003
南北,密云其它,,16,首创澜茵山,101102732528,4室1厅,250,密云,简装,123.0,2016
南北,密云其它,,2,君山别墅,101101025128,3室2厅,1000,密云,毛坯,391.0,2011
南北,密云其它,,2,君山别墅,101101930845,5室3厅,1400,密云,精装,468.0,2012
南北,密云其它,,6,京溪小区,101102301081,3室1厅,210,密云,其他,102.0,2007
南北,密云其它,,6,檀州家园东区,101102339145,3室2厅,308,密云,其他,141.0,2006
西北,密云其它,,6,保利花园,101101571064,2室1厅,223,密云,精装,74.0,2011
南北,密云其它,,6,保利花园,101102701936,3室2厅,320,密云,其他,123.0,2011
南北,密云其它,,16,首创澜茵山,101102450676,3室2厅,265,密云,其他,123.0,2014
南北,密云其它,,6,石桥西区,101102268496,3室2厅,240,密云,其他,102.0,2009
南北,密云其它,,6,果园新里南区,101102494582,3室2厅,260,密云,精装,108.0,2004
南北,密云其它,,7,首创澜茵山,101102708271,3室2厅,230,密云,其他,98.0,2016
南北,密云其它,,6,檀城西区,101101728337,6室2厅,398,密云,精装,198.0,2009
南北,平谷其它,,2,峪上桃墅林,101102398118,3室2厅,320,平谷,精装,121.0,2007
南西北,平谷其它,,12,首城汇景湾,101102234175,2室1厅,230,平谷,毛坯,85.0,2014
南北,平谷其它,,8,首城汇景湾,101102252832,2室1厅,238,平谷,精装,86.0,2014
南,平谷其它,,18,首城汇景湾,101102094667,2室1厅,253,平谷,精装,87.0,2014
南北,平谷其它,,9,首城汇景湾,101102331347,3室1厅,390,平谷,毛坯,127.0,2014
南,平谷其它,,18,首城汇景湾,101102278525,2室1厅,260,平谷,其他,87.0,2014
南北,平谷其它,,10,首城汇景湾,101102579480,2室2厅,236,平谷,精装,87.0,2014
南北,平谷其它,,10,首城汇景湾,101102697082,2室2厅,238,平谷,其他,87.0,2014
南北,平谷其它,,9,首城汇景湾,101102169741,3室2厅,445,平谷,毛坯,157.0,2014
南西北,平谷其它,,18,腾飞园,101101915508,3室2厅,295,平谷,精装,134.0,2016
南北,平谷其它,,9,首城汇景湾,101102420113,3室2厅,365,平谷,精装,134.0,2014
南北,平谷其它,,9,首城汇景湾,101102117656,3室2厅,380,平谷,精装,152.0,2014
南北,平谷其它,,12,首城汇景湾,101102600261,3室1厅,310,平谷,其他,131.0,2015
南北,平谷其它,,9,首城汇景湾,101101362396,3室2厅,370,平谷,毛坯,139.0,2014
南北,平谷其它,,11,首城汇景湾,101102560336,3室2厅,340,平谷,简装,135.0,2014
南北,平谷其它,,18,新华联慧谷,101102705161,2室1厅,245,平谷,其他,87.0,2015
南北,平谷其它,,18,首城汇景湾,101102233492,2室1厅,265,平谷,其他,86.0,2014
南北,平谷其它,,18,首城汇景湾,101102512431,3室2厅,295,平谷,其他,118.0,2014
西北,平谷其它,,18,首城汇景湾,101102230451,1室1厅,210,平谷,精装,67.0,2014
南,平谷其它,,18,首城汇景湾,101102382053,2室1厅,235,平谷,其他,85.0,2014
南北,平谷其它,,17,新华联慧谷,101102708996,2室2厅,275,平谷,其他,101.0,2015
东南南北,平谷其它,,17,新华联慧谷,101102661133,2室2厅,285,平谷,精装,102.0,2015
南北,平谷其它,,15,首城汇景湾,101102501487,3室2厅,780,平谷,毛坯,337.0,2014
南北,平谷其它,,18,首城汇景湾,101102110541,3室2厅,330,平谷,其他,117.0,2014
南北,平谷其它,,17,紫贵御园,101102054526,3室2厅,305,平谷,精装,107.0,2016
南北,平谷其它,,18,首城汇景湾,101102633282,3室2厅,338,平谷,毛坯,136.0,2014
南北,平谷其它,,9,首城汇景湾,101102285489,3室1厅,350,平谷,毛坯,151.0,2014
南北,平谷其它,,18,新华联慧谷,101102580577,3室2厅,328,平谷,其他,125.0,2016
南北,平谷其它,,11,首城汇景湾,101102032107,2室2厅,260,平谷,简装,88.0,2014
南北,门头沟其它,无电梯,4,潭墅苑,101102501522,3室1厅,596,门头沟,精装,170.0,2006
南北,大峪,无电梯,6,新桥路小区,101100560913,2室1厅,252,门头沟,简装,65.0,1992
南北,滨河西区,有电梯,16,皓月园,101102307342,3室1厅,534.6,门头沟,精装,118.0,2005
西南,门头沟其它,,25,中国铁建梧桐汇,101102259093,3房间1卫,260,门头沟,简装,86.0,2015
东南北,城子,无电梯,6,向东楼小区,101102283695,2室1厅,340,门头沟,其他,88.0,1993
南,大峪,,15,惠民家园,101102734464,1室0厅,228,门头沟,简装,53.0,2010
南北,大峪,有电梯,7,西山环路3号院,101101158005,3室2厅,776,门头沟,精装,141.0,2015
南,滨河西区,无电梯,6,门头沟月季园,101102559457,2室1厅,238,门头沟,简装,62.0,1988
东,城子,无电梯,6,新桥东街,101102319319,2室1厅,229,门头沟,其他,66.0,1994
南北,大峪,无电梯,6,新桥大街61号院,101102417710,2室1厅,310,门头沟,精装,83.0,1995
南,滨河西区,有电梯,16,皓月园,101102081669,1室1厅,278,门头沟,简装,66.0,2002
南北,城子,无电梯,4,绿岛家园,101102719180,4室2厅,799,门头沟,其他,195.0,2006
东西,城子,无电梯,6,城子西七棵树90号院,101102684964,2室1厅,262,门头沟,简装,74.0,2007
南北,大峪,无电梯,6,新桥路小区,101102512208,2室1厅,215,门头沟,简装,49.0,1992
南,大峪,无电梯,6,新桥大街39号院,101102690183,2室1厅,260,门头沟,简装,64.0,1995
南北,门头沟其它,,8,檀香府,101102080088,3室2厅,850,门头沟,毛坯,171.0,2016
南北,冯村,无电梯,6,冯村嘉园一区,101102703922,2室2厅,430,门头沟,简装,103.0,2002
南北,大峪,无电梯,6,新桥路小区,101101433664,2室1厅,298,门头沟,简装,66.0,1993
南北,大峪,无电梯,6,新桥路小区,101101540908,2室1厅,200,门头沟,简装,49.0,1992
南北,门头沟其它,无电梯,6,惠泽家园,101102566183,2室1厅,311,门头沟,其他,89.0,2010
南北,城子,无电梯,6,绿岛家园,101100424153,3室2厅,620,门头沟,精装,170.0,2006
南北,门头沟其它,,4,南宫,101102309958,2室0厅,155,门头沟,简装,39.0,1958
南北,门头沟其它,,6,檀香府,101101972274,3室1厅,649,门头沟,其他,135.0,2016
南北,大峪,无电梯,6,增产路大街42号院,101101527534,2室1厅,248,门头沟,简装,79.0,1993
南,滨河西区,有电梯,14,含晖苑,101102621574,1室1厅,279,门头沟,精装,66.0,2007
南,门头沟其它,有电梯,24,梧桐苑知秋园,101102635701,2室1厅,380,门头沟,简装,83.0,2013
南,大峪,有电梯,21,金泰丽湾悦栖山,101102543259,2室1厅,398,门头沟,精装,92.0,2015
南北,大峪,有电梯,19,金泰丽湾悦栖山,101101491879,4室2厅,945,门头沟,毛坯,220.0,2015
南北,大峪,有电梯,8,西山环路3号院,101102330203,3室2厅,750,门头沟,精装,139.0,2015
南北,冯村,有电梯,23,丽景长安,101102486899,2室1厅,442,门头沟,其他,92.0,2012
南西北,滨河西区,无电梯,6,含晖苑,101102557753,2室1厅,420,门头沟,精装,100.0,2007
南,大峪,,7,黑山东街,101102498202,1室1厅,178,门头沟,简装,41.0,1994
南,冯村,有电梯,26,丽景长安,101102189053,2室1厅,440,门头沟,其他,88.0,2012
南北,城子,无电梯,6,城子西街1号院,101102179375,2室1厅,240,门头沟,简装,72.0,2005
东,大峪,有电梯,24,新桥家园,101100347709,2室1厅,436,门头沟,简装,109.0,2003
南北,门头沟其它,无电梯,4,潭墅苑,101101182644,2室1厅,600,门头沟,毛坯,171.0,2006
南北,冯村,有电梯,3,华润西山墅,101101896368,5室4厅,2900,门头沟,精装,656.0,2013
南西北,滨河西区,有电梯,14,倚山嘉园,101102183746,1室1厅,320,门头沟,精装,82.0,2004
南北,大峪,,6,峪园小区,101102704236,2室1厅,320,门头沟,其他,96.0,1997
南北,冯村,有电梯,10,润西山苑,101102215334,4室2厅,900,门头沟,精装,127.0,2014
南北,城子,无电梯,7,阁外山水,101102656762,3室2厅,515,门头沟,其他,139.0,2004
南北,冯村,有电梯,9,丽景长安,101102730044,3室1厅,580,门头沟,精装,129.0,2012
